order_id,customer_id,product_id,quantity,order_amount,order_status,order_timestamp
1,406,77,1,1438.1,PENDING,2025-11-13 12:09:41.465448
2,687,165,3,4280.67,COMPLETED,2025-11-25 23:10:41.465448
3,40,98,5,8138.75,COMPLETED,2026-04-30 01:16:41.465448
4,559,51,5,8711.4,COMPLETED,2026-05-23 13:44:41.465448
5,152,68,2,914.02,PENDING,2025-10-02 10:23:41.465448
6,139,158,5,4762.3,COMPLETED,2026-07-12 03:07:41.465448
7,602,133,3,3478.68,PENDING,2025-09-25 09:36:41.465448
8,651,117,5,2539.8,PENDING,2026-03-17 12:28:41.465448
9,679,154,3,3308.01,COMPLETED,2026-02-24 07:38:41.465448
10,208,163,4,4758.0,COMPLETED,2026-05-06 15:02:41.465448
11,903,94,3,5747.94,COMPLETED,2026-04-12 14:56:41.465448
12,53,11,2,939.3,COMPLETED,2026-08-11 18:48:41.465448
13,986,53,5,7046.4,CANCELLED,2026-06-19 07:24:41.465448
14,427,127,1,552.84,COMPLETED,2026-02-26 19:29:41.465448
15,929,18,4,2295.84,COMPLETED,2026-07-02 02:39:41.465448
16,638,192,2,2502.72,COMPLETED,2026-03-05 11:13:41.465448
17,478,131,3,2897.34,CANCELLED,2026-07-27 13:14:41.465448
18,261,94,3,5747.94,COMPLETED,2025-10-31 00:59:41.465448
19,716,54,3,1208.1,COMPLETED,2026-06-21 08:22:41.465448
20,657,126,1,1218.85,CANCELLED,2026-05-22 11:57:41.465448
21,322,82,4,6858.28,COMPLETED,2026-02-18 03:50:41.465448
22,8,10,1,840.97,PENDING,2026-04-28 22:24:41.465448
23,859,172,2,263.32,PENDING,2026-02-27 12:35:41.465448
24,381,59,3,3642.75,CANCELLED,2026-02-08 04:34:41.465448
25,675,25,1,1531.11,COMPLETED,2025-09-30 05:49:41.465448
26,753,191,5,3906.3,PENDING,2026-02-02 14:08:41.465448
27,474,42,2,3579.86,CANCELLED,2025-11-11 19:41:41.465448
28,643,74,4,790.88,COMPLETED,2026-03-16 03:21:41.465448
29,946,36,3,2704.14,CANCELLED,2026-08-13 15:23:41.465448
30,773,56,2,3526.44,PENDING,2026-05-29 16:59:41.465448
31,791,8,1,1182.52,COMPLETED,2026-07-26 09:12:41.465448
32,836,86,4,5685.0,CANCELLED,2026-07-28 13:20:41.465448
33,668,145,2,1138.68,COMPLETED,2026-02-19 22:22:41.465448
34,121,136,1,56.53,COMPLETED,2026-08-08 22:32:41.465448
35,666,49,2,1966.42,COMPLETED,2026-07-26 14:59:41.465448
36,43,34,2,3944.02,COMPLETED,2026-05-11 13:42:41.465448
37,115,144,4,1984.4,COMPLETED,2026-02-26 15:42:41.465448
38,112,102,3,1317.09,COMPLETED,2026-01-27 19:39:41.465448
39,836,67,4,6067.96,COMPLETED,2026-08-30 04:44:41.465448
40,871,191,3,2343.78,PENDING,2026-02-10 01:48:41.465448
41,187,90,2,280.44,PENDING,2026-05-17 20:58:41.465448
42,521,92,5,1717.7,COMPLETED,2026-07-18 05:44:41.465448
43,732,53,2,2818.56,PENDING,2026-01-28 11:42:41.465448
44,215,172,2,263.32,COMPLETED,2026-05-18 10:32:41.465448
45,380,68,1,457.01,COMPLETED,2026-08-04 14:28:41.465448
46,727,153,5,766.95,COMPLETED,2026-03-30 20:30:41.465448
47,82,49,4,3932.84,COMPLETED,2026-08-22 01:52:41.465448
48,873,90,3,420.66,COMPLETED,2026-07-25 02:22:41.465448
49,892,74,5,988.6,CANCELLED,2026-04-09 00:55:41.465448
50,776,85,1,995.72,COMPLETED,2026-01-11 14:20:41.465448
51,691,111,2,1513.24,COMPLETED,2025-11-06 05:49:41.465448
52,764,173,5,6340.35,COMPLETED,2026-01-10 05:32:41.465448
53,894,61,5,7354.8,COMPLETED,2025-10-18 20:27:41.465448
54,873,131,2,1931.56,COMPLETED,2025-09-18 11:09:41.465448
55,828,147,1,1984.98,CANCELLED,2026-01-13 01:08:41.465448
56,819,9,4,1285.64,COMPLETED,2026-09-10 19:32:41.465448
57,728,36,2,1802.76,PENDING,2025-10-05 22:28:41.465448
58,955,3,3,3280.38,COMPLETED,2025-09-30 09:56:41.465448
59,755,195,4,6596.52,CANCELLED,2026-01-07 07:54:41.465448
60,123,107,2,3150.78,PENDING,2026-07-21 12:02:41.465448
61,243,4,2,1809.48,COMPLETED,2025-09-30 03:58:41.465448
62,432,167,3,2172.48,COMPLETED,2026-07-30 19:50:41.465448
63,214,71,1,1547.32,COMPLETED,2025-11-08 23:53:41.465448
64,467,88,5,1804.9,COMPLETED,2026-08-04 10:03:41.465448
65,799,89,3,4135.89,CANCELLED,2026-04-27 08:43:41.465448
66,649,189,4,1544.16,CANCELLED,2026-08-06 07:13:41.465448
67,525,171,3,1183.53,PENDING,2026-03-01 16:17:41.465448
68,943,192,4,5005.44,COMPLETED,2025-10-21 21:35:41.465448
69,566,97,2,3571.9,CANCELLED,2026-03-16 00:03:41.465448
70,168,7,4,2612.64,COMPLETED,2026-06-07 06:06:41.465448
71,870,128,5,2076.95,COMPLETED,2025-12-08 19:20:41.465448
72,77,5,2,520.4,COMPLETED,2026-06-15 20:37:41.465448
73,89,163,4,4758.0,COMPLETED,2025-11-21 09:00:41.465448
74,994,143,1,1774.65,PENDING,2026-05-19 08:37:41.465448
75,644,43,2,3865.16,COMPLETED,2026-06-13 16:09:41.465448
76,586,27,5,361.4,COMPLETED,2026-05-14 13:09:41.465448
77,249,154,3,3308.01,PENDING,2025-11-14 23:09:41.465448
78,158,169,4,7381.36,CANCELLED,2026-08-14 12:06:41.465448
79,355,119,4,2823.04,COMPLETED,2026-05-28 13:24:41.465448
80,220,14,4,2883.72,CANCELLED,2025-10-05 10:40:41.465448
81,815,162,1,1243.83,PENDING,2026-02-08 10:44:41.465448
82,160,190,1,1783.39,COMPLETED,2025-09-19 00:01:41.465448
83,981,63,3,4942.98,COMPLETED,2025-11-03 17:57:41.465448
84,993,92,5,1717.7,CANCELLED,2026-01-07 00:05:41.465448
85,271,4,1,904.74,PENDING,2026-09-06 09:00:41.465448
86,349,137,5,4712.5,PENDING,2026-05-20 11:53:41.465448
87,472,23,4,6642.16,PENDING,2025-12-13 01:36:41.465448
88,27,8,2,2365.04,PENDING,2026-03-22 19:06:41.465448
89,380,13,3,5022.24,COMPLETED,2026-01-30 00:31:41.465448
90,828,191,3,2343.78,COMPLETED,2025-12-18 13:56:41.465448
91,698,76,5,1844.55,PENDING,2026-07-01 13:16:41.465448
92,584,166,1,362.13,COMPLETED,2025-10-21 05:25:41.465448
93,138,85,2,1991.44,COMPLETED,2026-04-05 02:46:41.465448
94,966,40,5,4613.1,COMPLETED,2026-06-27 07:34:41.465448
95,411,193,5,5201.05,COMPLETED,2026-08-02 21:26:41.465448
96,371,193,4,4160.84,COMPLETED,2026-05-18 11:27:41.465448
97,228,42,4,7159.72,COMPLETED,2026-04-14 07:30:41.465448
98,262,81,2,2722.8,COMPLETED,2026-02-21 08:58:41.465448
99,446,58,5,8046.2,PENDING,2026-01-18 21:48:41.465448
100,283,99,3,2473.8,CANCELLED,2026-02-26 02:16:41.465448
101,484,112,5,1934.05,COMPLETED,2025-11-26 11:20:41.465448
102,921,15,3,3606.96,PENDING,2026-06-11 12:54:41.465448
